ST_PUMA,ST_CO_PUMA
1704301,1704300
1704302,1704300
1704303,1704300
1704304,1704300
1704305,1704300
1704306,1704300
1704307,1704300
1704900,1704900
1707300,1707300
1708901,1708900
1708902,1708900
1708903,1708900
1708904,1708900
1709100,1709100
1709300,1709300
1709500,1709500
1709701,1709700
1709702,1709700
1709703,1709700
1709704,1709700
1709705,1709700
1709900,1709900
1711101,1711100
1711102,1711100
1711300,1711300
1711500,1711500
1711700,1711700
1711901,1711900
1711902,1711900
1712100,1712100
1713500,1713500
1714300,1714300
1716100,1716100
1716301,1716303
1716302,1716303
1716500,1716500
1716700,1716700
1717900,1717900
1719500,1719500
1719701,1719700
1719702,1719700
1719703,1719700
1719704,1719700
1719705,1719700
1719900,1719900
1800101,1800100
1800102,1800100
1800103,1800100
1800104,1800100
1800200,1800200
1800300,1800300
1800401,1800400
1800402,1800400
1800501,1800500
1800502,1800500
1800600,1800600
1800700,1800700
1800800,1800800
1800900,1800900
1801001,1801000
1801002,1801000
1801003,1801000
1801100,1801100
1801200,1801200
1801300,1801300
1801400,1801400
1801500,1801500
1801600,1801600
1801700,1801700
1801801,1801890
1801901,1801890
1801902,1801890
1802000,1802000
1802100,1802100
1802200,1802200
1802300,1802300
1802401,1802400
1802402,1802400
1802403,1802400
1802404,1802400
1802405,1802400
1802406,1802400
1802407,1802400
1802500,1802500
1802600,1802600
1802700,1802700
1802800,1802800
1802900,1802900
1803000,1803000
1803100,1803100
1803200,1803200
1803300,1803300
1803400,1803400
1803500,1803500
1803600,1803600
1803700,1803700
1900100,1900100
1900200,1900200
1900301,1900300
1900302,1900300
1900400,1900400
1900500,1900500
1900600,1900600
1900700,1900700
1900800,1900800
1900900,1900900
1901100,1901100
1901200,1901200
1901300,1901300
1901400,1901400
1901501,1901500
1901502,1901500
1901503,1901500
1901600,1901600
1901800,1901800
1901900,1901900
1902000,1902000
1902100,1902100
1902200,1902200
1902300,1902300
2000100,2000100
2000200,2000200
2000300,2000300
2000400,2000400
2000501,2000590
2000601,2000590
2000700,2000700
2000801,2000800
2000802,2000800
2000803,2000800
2000804,2000800
2000900,2000900
2001000,2001000
2001101,2001190
2001701,2001190
2001201,2001290
2001301,2001290
2001401,2001290
2001501,2001290
2001600,2001600
2001800,2001800
2100100,2100100
2100200,2100200
2100300,2100300
2100400,2100400
2100500,2100500
2100600,2100600
2100700,2100700
2100800,2100800
2100900,2100900
2101000,2101000
2101100,2101100
2101200,2101200
2101300,2101300
2101400,2101400
2101500,2101500
2101600,2101600
2101701,2101700
2101702,2101700
2101703,2101700
2101704,2101700
2101705,2101700
2101706,2101700
2101800,2101800
2101901,2101900
2101902,2101900
2101903,2101900
2102000,2102000
2102100,2102100
2102200,2102200
2102300,2102300
2102400,2102400
2102500,2102500
2102600,2102600
2102700,2102700
2102800,2102800
2200101,2200100
2200102,2200100
2200200,2200200
2200300,2200300
2200400,2200400
2200500,2200500
2200600,2200600
2200700,2200700
2200801,2200890
2200901,2200890
2201000,2201000
2201100,2201100
2201201,2201200
2201202,2201200
2201300,2201300
2201400,2201400
2201501,2201500
2201502,2201500
2201503,2201500
2201504,2201500
2201600,2201600
2201700,2201700
2201800,2201800
2201900,2201900
2202000,2202000
2202100,2202100
2202201,2202200
2202202,2202200
2202301,2202390
2202302,2202390
2202303,2202390
2202501,2202390
2202401,2202400
2202402,2202400
2202403,2202400
2300100,2300190
2300300,2300190
2300200,2300200
2300400,2300400
2300500,2300500
2300600,2300600
2300700,2300790
2300800,2300790
2300900,2300790
2301000,2300790
2400101,2400190
2400201,2400190
2400301,2400300
2400302,2400300
2400400,2400400
2400501,2400500
2400502,2400500
2400503,2400500
2400504,2400500
2400505,2400500
2400506,2400500
2400507,2400500
2400601,2400600
2400602,2400600
2400700,2400700
2400801,2400800
2400802,2400800
2400803,2400800
2400804,2400800
2400805,2400800
2400901,2400900
2400902,2400900
2400903,2400900
2401001,2401000
2401002,2401000
2401003,2401000
2401004,2401000
2401005,2401000
2401006,2401000
2401007,2401000
2401008,2401000
2401101,2401100
2401102,2401100
2401103,2401100
2401104,2401100
2401105,2401100
2401106,2401100
2401107,2401100
2401201,2401200
2401202,2401200
2401203,2401200
2401204,2401200
2401205,2401200
2401300,2401300
2401400,2401400
2401501,2401590
2401601,2401590
2401700,2401700
2500100,2500100
2500201,2500290
2500301,2500290
2500401,2500400
2500402,2500400
2500403,2500400
2500501,2500500
2500502,2500500
2500503,2500500
2500504,2500500
2500505,2500500
2500506,2500500
2500507,2500500
2500601,2500600
2500602,2500600
2500603,2500600
2500604,2500600
2500605,2500600
2500606,2500600
2500607,2500600
2500608,2500600
2500609,2500600
2500610,2500600
2500611,2500600
2500612,2500600
2500613,2500600
2500701,2500700
2500702,2500700
2500703,2500700
2500704,2500700
2500705,2500700
2500706,2500700
2500801,2500800
2500802,2500800
2500803,2500800
2500804,2500800
2500805,2500800
2500806,2500800
2500901,2500900
2500902,2500900
2500903,2500900
2500904,2500900
2500905,2500900
2500906,2500900
2501001,2501000
2501002,2501000
2501003,2501000
2501004,2501000
2501101,2501100
2501102,2501100
2501103,2501100
2501104,2501100
2501201,2501290
2501301,2501290
2600100,2600100
2600200,2600200
2600300,2600300
2600400,2600400
2600500,2600500
2600600,2600600
2600700,2600700
2600801,2600800
2600802,2600800
2600900,2600900
2601001,2601000
2601002,2601000
2601003,2601000
2601004,2601000
2601100,2601100
