ST_COUNTY,ST_CO_PUMA
2100093,2101290
2100095,2100900
2100097,2102300
2100099,2100400
2100101,2101400
2100103,2101690
2100105,2100100
2100107,2100200
2100109,2100800
2100111,2101700
2100113,2102100
2100115,2101100
2100117,2102400
2100119,2101000
2100121,2100900
2100123,2101290
2100125,2100800
2100127,2102800
2100129,2101000
2100131,2101000
2100133,2101000
2100135,2102700
2100137,2102100
2100139,2100200
2100141,2100400
2100143,2100300
2100145,2100100
2100147,2100700
2100149,2101400
2100151,2102200
2100153,2101100
2100155,2101290
2100157,2100100
2100159,2101100
2100161,2102700
2100163,2101290
2100165,2102700
2100167,2102000
2100169,2100400
2100171,2100400
2100173,2102700
2100175,2102700
2100177,2100200
2100179,2101290
2100181,2102300
2100183,2101400
2100185,2101690
2100187,2102600
2100189,2101000
2100191,2102600
2100193,2101000
2100195,2101100
2100197,2102200
2100199,2100700
2100201,2102700
2100203,2100800
2100205,2102700
2100207,2100600
2100209,2102300
2100211,2101690
2100213,2100400
2100215,2101690
2100217,2100600
2100219,2100300
2100221,2100300
2100223,2101690
2100225,2101400
2100227,2100500
2100229,2101290
2100231,2100700
2100233,2101400
2100235,2100900
2100237,2101000
2100239,2102000
2200001,2201100
2200003,2200890
2200005,2201600
2200007,2202000
2200009,2200600
2200011,2200890
2200013,2200300
2200015,2200200
2200017,2200100
2200019,2200890
2200021,2200500
2200023,2200890
2200025,2200600
2200027,2200300
2200029,2200600
2200031,2200300
2200033,2201500
2200035,2200500
2200037,2201400
2200039,2201000
2200041,2200500
2200043,2200600
2200045,2201300
2200047,2201400
2200049,2200500
2200051,2202390
2200053,2200890
2200055,2201200
2200057,2202000
2200059,2200600
2200061,2200300
2200063,2201700
2200065,2200500
2200067,2200500
2200069,2200300
2200071,2202400
2200073,2200400
2200075,2202390
2200077,2201400
2200079,2200700
2200081,2200300
2200083,2200500
2200085,2200300
2200087,2202390
2200089,2201900
2200091,2201700
2200093,2201900
2200095,2201900
2200097,2201000
2200099,2201300
2200101,2201300
2200103,2202200
2200105,2201800
2200107,2200500
2200109,2202100
2200111,2200500
2200113,2201100
2200115,2200700
2200117,2201800
2200119,2200200
2200121,2201400
2200123,2200500
2200125,2201400
2200127,2200600
2300001,2300600
2300003,2300100
2300005,2300790
2300007,2300200
2300009,2300500
2300011,2300400
2300013,2300500
2300015,2300500
2300017,2300200
2300019,2300300
2300021,2300200
2300023,2300790
2300025,2300200
2300027,2300500
2300029,2300100
2300031,2300790
2400001,2400100
2400003,2401200
2400005,2400500
2400009,2401500
2400011,2401300
2400013,2400400
2400015,2400700
2400017,2401600
2400019,2401300
2400021,2400300
2400023,2400100
2400025,2400600
2400027,2400900
2400029,2401300
2400031,2401000
2400033,2401100
2400035,2401300
2400037,2401500
2400039,2401400
2400041,2401300
2400043,2400200
2400045,2401400
2400047,2401400
2400510,2400800
2500001,2504790
2500003,2500100
2500005,2500390
2500007,2504790
2500009,2500390
2500011,2500290
2500013,2500290
2500015,2500290
2500017,2500390
2500019,2504790
2500021,2500390
2500023,2500390
2500025,2503300
2500027,2500390
2600001,2600300
2600003,2600200
2600005,2600900
2600007,2600300
2600009,2600400
2600011,2601300
2600013,2600100
2600015,2602000
2600017,2601400
2600019,2600500
2600021,2602400
2600023,2602200
2600025,2602000
2600027,2602300
2600029,2600400
2600031,2600300
2600033,2600200
2600035,2601200
2600037,2601900
2600039,2600300
2600041,2600200
2600043,2600100
2600045,2601900
2600047,2600400
2600049,2601700
2600051,2601300
2600053,2600100
2600055,2600500
2600057,2601200
2600059,2602500
2600061,2600100
2600063,2601600
2600065,2601800
2600067,2601100
2600069,2601300
2600071,2600100
2600073,2601200
2600075,2602600
2600077,2602100
2600079,2600400
2600081,2601000
2600083,2600100
2600085,2600600
2600087,2601700
2600089,2600500
2600091,2602500
2600093,2602800
2600095,2600200
2600097,2600200
2600099,2603000
2600101,2600500
2600103,2600100
2600105,2600600
2600107,2601100
2600109,2600200
2600111,2601400
2600113,2600400
2600115,2603300
2600117,2601100
2600119,2600300
2600121,2600700
2600123,2600600
2600125,2602900
2600127,2600600
2600129,2601300
2600131,2600100
2600133,2601100
2600135,2600300
2600137,2600300
2600139,2600800
2600141,2600300
2600143,2601300
2600145,2601500
2600147,2603100
2600149,2602200
2600151,2601600
2600153,2600200
2600155,2601700
2600157,2601600
2600159,2602300
2600161,2602700
2600163,2603200
2600165,2600400
2700001,2700390
2700003,2701100
2700005,2700200
2700007,2700200
2700009,2701000
2700011,2700800
2700013,2702200
2700015,2702000
2700017,2700390
2700019,2701690
2700021,2700390
2700023,2702000
2700025,2700600
2700027,2700100
2700029,2700200
2700031,2700390
2700033,2702100
2700035,2700700
2700037,2701500
2700039,2702400
2700041,2700800
2700043,2702100
2700045,2702600
2700047,2702400
2700049,2702300
2700051,2700800
2700053,2701400
2700055,2702600
2700057,2700200
2700059,2700600
2700061,2700390
2700063,2702100
2700065,2700600
2700067,2701900
2700069,2700100
2700071,2700390
2700073,2702000
2700075,2700390
2700077,2700200
2700079,2702300
2700081,2702000
2700083,2702000
2700085,2701900
2700087,2700200
2700089,2700100
2700091,2702100
2700093,2701900
2700095,2700600
2700097,2700700
2700099,2702400
2700101,2702100
2700103,2702200
2700105,2702100
2700107,2700100
2700109,2702500
2700111,2700800
2700113,2700100
2700115,2700600
2700117,2702100
2700119,2700100
2700121,2700800
2700123,2701300
2700125,2700100
2700127,2702000
2700129,2701900
2700131,2702300
2700133,2702100
2700135,2700100
2700137,2700390
2700139,2701690
2700141,2701000
2700143,2701900
2700145,2700900
2700147,2702400
2700149,2700800
2700151,2700800
2700153,2700700
2700155,2700800
2700157,2702600
2700159,2700700
2700161,2702200
2700163,2701200
2700165,2702100
2700167,2700800
2700169,2702600
2700171,2701800
2700173,2702000
2800001,2801600
2800003,2800200
2800005,2801600
2800007,2800700
2800009,2800200
2800011,2800800
2800013,2800400
2800015,2800700
2800017,2800400
2800019,2800600
2800021,2801600
2800023,2801500
2800025,2800600
2800027,2800300
2800029,2800990
2800031,2801700
2800033,2800100
2800035,2801800
2800037,2801600
2800039,2801900
2800041,2801700
2800043,2800700
2800045,2801900
2800047,2802000
2800049,2800990
2800051,2800700
2800053,2800800
2800055,2800800
2800057,2800400
2800059,2802100
2800061,2801400
2800063,2801600
2800065,2801700
2800067,2801700
2800069,2801400
2800071,2800400
2800073,2801800
2800075,2801500
2800077,2801600
2800079,2801400
2800081,2800500
2800083,2800700
2800085,2801600
2800087,2800600
2800089,2800990
2800091,2801800
2800093,2800200
2800095,2800400
2800097,2800700
2800099,2801400
2800101,2801500
2800103,2800600
2800105,2800600
2800107,2800300
2800109,2801900
2800111,2801800
2800113,2801600
2800115,2800500
2800117,2800200
2800119,2800300
2800121,2801300
2800123,2801400
2800125,2800800
2800127,2801300
2800129,2801400
2800131,2801900
2800133,2800800
2800135,2800300
2800137,2800300
2800139,2800200
2800141,2800200
2800143,2800300
2800145,2800500
2800147,2801600
2800149,2800990
2800151,2800800
2800153,2801700
2800155,2800600
2800157,2801600
2800159,2800600
2800161,2800700
2800163,2800990
2900001,2900300
2900003,2900200
2900005,2900100
2900007,2900400
2900009,2902700
2900011,2901200
2900013,2901100
2900015,2901300
2900017,2902200
2900019,2900600
2900021,2900200
2900023,2902400
2900025,2900800
2900027,2900500
2900029,2901400
2900031,2902200
2900033,2900700
2900035,2902400
2900037,2901100
2900039,2901200
2900041,2900700
2900043,2902600
2900045,2900300
2900047,2900900
2900049,2900800
2900051,2900500
2900053,2900700
2900055,2901500
2900057,2901200
2900059,2901300
2900061,2900100
2900063,2900200
2900065,2901500
2900067,2902500
2900069,2902300
2900071,2901600
2900073,2901500
2900075,2900100
2900077,2902600
2900079,2900100
2900081,2900100
2900083,2901200
2900085,2901300
2900087,2900100
2900089,2900700
2900091,2902500
2900093,2902400
2900095,2901000
2900097,2902800
2900099,2902000
2900101,2900800
2900103,2900300
2900105,2901300
2900107,2900800
2900109,2901200
2900111,2900300
2900113,2900400
2900115,2900100
2900117,2900100
2900119,2902700
2900121,2900300
2900123,2902400
2900125,2901500
2900127,2900300
2900129,2900100
2900131,2901400
2900133,2902300
2900135,2900500
2900137,2900300
2900139,2900400
2900141,2901400
2900143,2902300
2900145,2902800
2900147,2900100
2900149,2902500
2900151,2900500
2900153,2902500
2900155,2902300
2900157,2902100
2900159,2900700
2900161,2901500
2900163,2900400
2900165,2900900
2900167,2901300
2900169,2901400
2900171,2900100
2900173,2900300
2900175,2900700
2900177,2900800
2900179,2902400
2900181,2902400
2900183,2901700
2900185,2901200
2900186,2902100
2900187,2902100
2900189,2901800
2900195,2900700
2900197,2900300
2900199,2900300
2900201,2902200
2900203,2902500
2900205,2900300
2900207,2902300
2900209,2902700
2900211,2900100
2900213,2902700
2900215,2902500
2900217,2901200
2900219,2900400
2900221,2902100
2900223,2902400
2900225,2902600
2900227,2900100
2900229,2902500
2900510,2901900
3000001,3000300
3000003,3000690
3000005,3000400
3000007,3000300
3000009,3000500
3000011,3000690
3000013,3000400
3000015,3000400
3000017,3000690
3000019,3000690
3000021,3000690
3000023,3000300
3000025,3000690
3000027,3000400
3000029,3000100
3000031,3000500
