ST_PUMA,ST_CO_PUMA
2600802,2600800
2600900,2600900
2601001,2601000
2601002,2601000
2601003,2601000
2601004,2601000
2601100,2601100
2601200,2601200
2601300,2601300
2601400,2601400
2601500,2601500
2601600,2601600
2601701,2601700
2601702,2601700
2601703,2601700
2601704,2601700
2601801,2601800
2601802,2601800
2601900,2601900
2602000,2602000
2602101,2602100
2602102,2602100
2602200,2602200
2602300,2602300
2602400,2602400
2602500,2602500
2602600,2602600
2602701,2602700
2602702,2602700
2602703,2602700
2602800,2602800
2602901,2602900
2602902,2602900
2602903,2602900
2602904,2602900
2602905,2602900
2602906,2602900
2602907,2602900
2602908,2602900
2603001,2603000
2603002,2603000
2603003,2603000
2603004,2603000
2603005,2603000
2603006,2603000
2603100,2603100
2603201,2603200
2603202,2603200
2603203,2603200
2603204,2603200
2603205,2603200
2603206,2603200
2603207,2603200
2603208,2603200
2603209,2603200
2603210,2603200
2603211,2603200
2603212,2603200
2603213,2603200
2603300,2603300
2700100,2700100
2700200,2700200
2700300,2700390
2700400,2700390
2700500,2700390
2700600,2700600
2700700,2700700
2700800,2700800
2700900,2700900
2701000,2701000
2701101,2701100
2701102,2701100
2701103,2701100
2701201,2701200
2701202,2701200
2701301,2701300
2701302,2701300
2701303,2701300
2701304,2701300
2701401,2701400
2701402,2701400
2701403,2701400
2701404,2701400
2701405,2701400
2701406,2701400
2701407,2701400
2701408,2701400
2701409,2701400
2701410,2701400
2701501,2701500
2701502,2701500
2701503,2701500
2701600,2701690
2701700,2701690
2701800,2701800
2701900,2701900
2702000,2702000
2702100,2702100
2702200,2702200
2702300,2702300
2702400,2702400
2702500,2702500
2702600,2702600
2800100,2800100
2800200,2800200
2800300,2800300
2800400,2800400
2800500,2800500
2800600,2800600
2800700,2800700
2800800,2800800
2800900,2800990
2801000,2800990
2801100,2800990
2801200,2800990
2801300,2801300
2801400,2801400
2801500,2801500
2801600,2801600
2801700,2801700
2801800,2801800
2801900,2801900
2802000,2802000
2802100,2802100
2900100,2900100
2900200,2900200
2900300,2900300
2900400,2900400
2900500,2900500
2900600,2900600
2900700,2900700
2900800,2900800
2900901,2900900
2900902,2900900
2900903,2900900
2901001,2901000
2901002,2901000
2901003,2901000
2901004,2901000
2901005,2901000
2901100,2901100
2901200,2901200
2901300,2901300
2901400,2901400
2901500,2901500
2901600,2901600
2901701,2901700
2901702,2901700
2901703,2901700
2901801,2901800
2901802,2901800
2901803,2901800
2901804,2901800
2901805,2901800
2901806,2901800
2901807,2901800
2901808,2901800
2901901,2901900
2901902,2901900
2902001,2902000
2902002,2902000
2902100,2902100
2902200,2902200
2902300,2902300
2902400,2902400
2902500,2902500
2902601,2902600
2902602,2902600
2902603,2902600
2902700,2902700
2902800,2902800
3000100,3000100
3000200,3000200
3000300,3000300
3000400,3000400
3000500,3000500
3000600,3000690
3000700,3000690
3100100,3100100
3100200,3100200
3100300,3100300
3100400,3100400
3100500,3100500
3100600,3100600
3100701,3100701
3100702,3100702
3100801,3100800
3100802,3100800
3100901,3100900
3100902,3100900
3100903,3100900
3100904,3100900
3200101,3200100
3200102,3200100
3200103,3200100
3200200,3200200
3200300,3200300
3200401,3200400
3200402,3200400
3200403,3200400
3200404,3200400
3200405,3200400
3200406,3200400
3200407,3200400
3200408,3200400
3200409,3200400
3200410,3200400
3200411,3200400
3200412,3200400
3200413,3200400
3300100,3300100
3300200,3300290
3300300,3300290
3300400,3300290
3300500,3300500
3300600,3300290
3300700,3300290
3300800,3300290
3300900,3300290
3301000,3300290
3400101,3400190
3400102,3400190
3400301,3400300
3400302,3400300
3400303,3400300
3400304,3400300
3400305,3400300
3400306,3400300
3400307,3400300
3400308,3400300
3400400,3400400
3400501,3400400
3400502,3400400
3400503,3400400
3400601,3400600
3400602,3400600
3400701,3400600
3400702,3400600
3400703,3400600
3400800,3400800
3400901,3400900
3400902,3400900
3400903,3400900
3400904,3400900
3400905,3400900
3400906,3400900
3400907,3400900
3401001,3401000
3401002,3401000
3401003,3401000
3401101,3401100
3401102,3401100
3401103,3401100
3401104,3401100
3401105,3401100
3401106,3401100
3401201,3401200
3401202,3401200
3401203,3401200
3401204,3401200
3401205,3401200
3401301,3401300
3401302,3401300
3401401,3401300
3401402,3401300
3401403,3401300
3401404,3401300
3401501,3401500
3401502,3401500
3401503,3401500
3401504,3401500
3401600,3401600
3401700,3401700
3401800,3401800
3401901,3401800
3401902,3401800
3401903,3401800
3401904,3401800
3402001,3402000
3402002,3402000
3402003,3402000
3402101,3402100
3402102,3402100
3402103,3402100
3402104,3402100
3402201,3402200
3402202,3402200
3402301,3402300
3402302,3402300
3402303,3402300
3402400,3402490
3402500,3402490
3402600,3400190
3500100,3500190
3500200,3500190
3500300,3500300
3500400,3500400
3500500,3500500
3500600,3500600
3500700,3500790
3500801,3500790
3500802,3500790
3500803,3500790
3500804,3500790
3500805,3500790
3500806,3500790
3500900,3500900
3501001,3501000
3501002,3501000
3501100,3501100
3501200,3501200
3600100,3600100
3600200,3600200
3600300,3600300
3600401,3600400
3600402,3600400
3600403,3600400
3600500,3600500
3600600,3600600
3600701,3600700
3600702,3600700
3600703,3600700
3600704,3600700
3600800,3600800
3600901,3600900
3600902,3600900
3600903,3600900
3600904,3600900
3600905,3600900
3600906,3600900
3601000,3601000
3601101,3601100
3601102,3601100
3601201,3601200
3601202,3601200
3601203,3601200
3601204,3601200
3601205,3601200
3601206,3601200
3601207,3601200
3601300,3601300
3601400,3601400
3601500,3601500
3601600,3601600
3601700,3601700
3601801,3601800
3601802,3601800
3601900,3601900
3602001,3602000
3602002,3602000
3602100,3602100
3602201,3602200
3602202,3602200
3602203,3602200
3602300,3602300
3602401,3602400
3602402,3602400
3602500,3602500
3602600,3602600
3602701,3602700
3602702,3602700
3602801,3602800
3602802,3602800
3602901,3602900
3602902,3602900
3602903,3602900
3603001,3603000
3603002,3603000
3603003,3603000
3603101,3603100
3603102,3603100
3603103,3603100
3603104,3603100
3603105,3603100
3603106,3603100
3603107,3603100
3603201,3603200
3603202,3603200
3603203,3603200
3603204,3603200
3603205,3603200
3603206,3603200
3603207,3603200
3603208,3603200
3603209,3603200
3603210,3603200
3603211,3603200
3603212,3603200
3603301,3603300
3603302,3603300
3603303,3603300
3603304,3603300
3603305,3603300
3603306,3603300
3603307,3603300
3603308,3603300
3603309,3603300
3603310,3603300
3603311,3603300
3603312,3603300
3603313,3603300
3603701,3603700
3603702,3603700
3603703,3603700
3603704,3603700
3603705,3603700
3603706,3603700
3603707,3603700
3603708,3603700
3603709,3603700
3603710,3603700
3603801,3603800
3603802,3603800
3603803,3603800
3603804,3603800
3603805,3603800
3603806,3603800
3603807,3603800
3603808,3603800
3603809,3603800
3603810,3603800
3603901,3603900
3603902,3603900
3603903,3603900
3604001,3604000
3604002,3604000
3604003,3604000
3604004,3604000
3604005,3604000
3604006,3604000
3604007,3604000
3604008,3604000
3604009,3604000
3604010,3604000
3604011,3604000
3604012,3604000
3604013,3604000
3604014,3604000
3604015,3604000
3604016,3604000
3604017,3604000
3604018,3604000
3604101,3604100
3604102,3604100
3604103,3604100
3604104,3604100
3604105,3604100
3604106,3604100
3604107,3604100
3604108,3604100
3604109,3604100
3604110,3604100
3604111,3604100
3604112,3604100
3604113,3604100
3604114,3604100
3700100,3700100
3700200,3700200
3700300,3700300
3700400,3700400
3700500,3700590
3700600,3700590
3700700,3700700
3700800,3700800
3700900,3700900
3701000,3701000
3701100,3701100
3701201,3701200
3701202,3701200
3701203,3701200
3701204,3701200
3701205,3701200
3701206,3701200
3701207,3701200
3701208,3701200
3701301,3701300
3701302,3701300
3701400,3701400
3701500,3701500
3701600,3701600
3701701,3701700
3701702,3701700
3701703,3701700
3701704,3701700
3701801,3701800
3701802,3701800
3701803,3701800
3701900,3701990
3702000,3702000
3702100,3702100
3702201,3702200
3702202,3702200
3702300,3702390
3702400,3702390
3702500,3702500
3702600,3702690
3702700,3702690
3702800,3702800
3702900,3701990
3703001,3703000
3703002,3703000
3703101,3703100
3703102,3703100
3703103,3703100
3703104,3703100
3703105,3703100
3703106,3703100
3703107,3703100
3703108,3703100
3703200,3703290
3703300,3703290
3703400,3703400
3703500,3703500
3703600,3703600
3703700,3703700
3703800,3703800
3703900,3703900
3704000,3704000
3704100,3704190
3704200,3704200
3704300,3704300
3704400,3704400
3704500,3704190
3704600,3704690
3704700,3704690
3704800,3704800
3704900,3704990
3705001,3705000
3705002,3705000
3705003,3705000
3705100,3704990
3705200,3705200
3705300,3705390
3705400,3705390
3800100,3800100
3800200,3800200
3800300,3800300
3800400,3800400
3800500,3800500
3900100,3900100
3900200,3900290
